영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
악인은 너무 많다 2 - 제주 실종사건의 전말,(주)콘텐츠패밀리,2021,11,26.0,58746.30859375,스릴러,청소년관람불가,6.14,3.0,4.57,7,3,1871,2,3,3,7
당신은 믿지 않겠지만,(주)디오시네마,2021,10,100.0,19155.623046875,드라마,12세이상관람가,6.38,6.0,6.1899999999999995,2,0,1708,2,3,3,2
쁘띠 마망,찬란,2021,10,97.0,19155.623046875,드라마,전체관람가,8.4,7.75,8.075,2,2,1708,2,3,3,2
캔디맨,유니버설픽쳐스인터내셔널 코리아(유),2021,9,608.0,223.77777099609372,미스터리,15세이상관람가,7.15,6.1,6.625,9,1,232,2,3,1,9
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,19155.623046875,드라마,15세이상관람가,7.41,7.0,7.205,2,1,1708,2,3,3,2
푸른 호수,유니버설픽쳐스인터내셔널 코리아(유),2021,10,139.0,19155.623046875,드라마,12세이상관람가,7.56,7.0,7.279999999999999,2,0,1708,2,3,3,2
휴가,㈜인디스토리,2021,10,55.0,19155.623046875,드라마,12세이상관람가,6.24,5.0,5.62,2,0,1708,2,3,3,2
로또쉐어,와이드 릴리즈(주),2021,11,20.0,58746.30859375,스릴러,15세이상관람가,4.5,3.0,3.75,7,1,1871,2,3,3,7
샹치와 텐 링즈의 전설,월트디즈니컴퍼니코리아 유한책임회사,2021,9,63.0,243490.03125,액션,12세이상관람가,7.4,6.6,7.0,1,0,1990,2,3,3,1
학교 가는 길,(주)영화사 진진,2021,5,90.0,1234.7940673828125,다큐멘터리,12세이상관람가,9.88,7.67,8.775,8,0,939,0,1,2,8
가치 캅시다,(주)스튜디오 보난자,2021,10,43.0,19155.623046875,드라마,15세이상관람가,7.29,4.0,5.645,2,1,1708,2,3,3,2
울림의 탄생,영화배급협동조합 씨네소파,2021,10,7.0,1010.3181762695312,다큐멘터리,전체관람가,9.08,6.0,7.54,8,2,866,2,3,2,8
고양이에게 밥을 주지 마세요,목영이엔엠,2021,11,16.0,1746.6785888671875,다큐멘터리,전체관람가,5.49,5.0,5.245,8,2,1041,2,3,2,8
크림,알토미디어(주),2021,11,22.0,17480.279296875,멜로/로맨스,15세이상관람가,7.530222222222222,5.67,6.6001111111111115,3,1,1685,2,3,3,3
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,(주)씨제이이엔엠,2021,9,593.0,15955.3486328125,애니메이션,전체관람가,8.84,6.5,7.67,0,2,1667,2,3,3,0
모가디슈,롯데컬처웍스(주)롯데엔터테인먼트,2021,7,63.0,156217.234375,액션,15세이상관람가,8.66,7.5,8.08,1,1,1959,1,2,3,1
나를 잡아줘,(주)태양미디어그룹,2021,11,23.0,17480.279296875,멜로/로맨스,12세이상관람가,7.43,5.0,6.215,3,0,1685,2,3,3,3
할로윈 킬즈,유니버설픽쳐스인터내셔널 코리아(유),2021,10,43.0,992.0,공포(호러),청소년관람불가,6.7,4.0,5.35,5,3,857,2,3,2,5
용과 주근깨 공주,와이드 릴리즈(주),2021,9,216.0,924.0,애니메이션,전체관람가,6.67,5.67,6.17,0,2,820,2,3,2,0
가족의 색깔,(주)영화사 진진,2021,10,20.0,899.0,드라마,전체관람가,7.14,5.67,6.404999999999999,2,2,801,2,3,2,2
어 굿 맨,(주)디스테이션,2021,11,26.0,893.0,드라마,15세이상관람가,6.78,5.0,5.890000000000001,2,1,795,2,3,2,2
로그북,시네마 뉴원,2021,11,15.0,858.0,다큐멘터리,전체관람가,9.76,6.0,7.88,8,2,773,2,3,2,8
"나의 끝, 당신의 시작",(주)마노엔터테인먼트,2021,11,16.0,813.0,드라마,15세이상관람가,5.75,6.5,6.125,2,1,741,2,3,2,2
태양은 움직이지 않는다,(주)이놀미디어,2021,11,42.0,799.0,액션,15세이상관람가,4.0,4.5,4.25,1,1,731,2,3,2,1
코다,판씨네마(주),2021,8,308.0,748.0,드라마,12세이상관람가,7.315434782608696,6.33,6.822717391304348,2,0,695,1,2,2,2
구원받은 도둑,(주)누리픽쳐스,2021,10,50.0,725.0,드라마,12세이상관람가,0.0,6.288468468468468,3.144234234234234,2,0,677,2,3,2,2
스틸워터,씨제이 씨지브이(CJ CGV)(주),2021,10,363.0,724.0,범죄,15세이상관람가,7.4,7.0,7.2,4,1,676,2,3,2,4
시그널 X: 영혼의 구역,(주)제이앤씨미디어그룹,2021,11,35.0,647.0,미스터리,15세이상관람가,6.06,5.9175,5.98875,9,1,610,2,3,2,9
수색자,(주)콘텐츠판다,2021,9,218.0,599.0,스릴러,15세이상관람가,8.5,8.38,8.440000000000001,7,1,572,2,3,2,7
바람아 안개를 걷어가다오,(주)모쿠슈라,2021,10,22.0,598.0,드라마,12세이상관람가,7.24,6.33,6.785,2,0,571,2,3,2,2
보는 것을 사랑한다,(주)드림팩트엔터테인먼트,2021,10,8.0,591.0,다큐멘터리,전체관람가,8.28,5.5,6.89,8,2,565,2,3,2,8
침묵의 숲,(주)이놀미디어,2021,11,22.0,540.0,드라마,청소년관람불가,7.91,6.0,6.955,2,3,533,2,3,2,2
사상,(주)시네마달,2021,10,16.0,535.0,다큐멘터리,12세이상관람가,7.0,5.67,6.335,8,0,529,2,3,2,8
귀토-토끼의 팔란,(주)이놀미디어,2021,11,15.0,500.0,공연,전체관람가,9.75,5.25,7.5,14,2,497,2,3,2,14
핫 블러드,(주)제이앤씨미디어그룹,2021,11,52.0,498.0,액션,15세이상관람가,7.22,5.090909090909091,6.155454545454545,1,1,495,2,3,2,1
죽이러 간다,(주)원픽쳐스,2021,11,8.0,425.0,드라마,15세이상관람가,6.98,6.615372340425532,6.797686170212766,2,1,428,2,3,2,2
더 프레지던트,"주식회사 풍경소리,(주)타임앤드스페이스",2021,11,5.0,420.0,드라마,15세이상관람가,7.45,8.0,7.725,2,1,423,2,3,2,2
글래디에이터: 레전드 워리어,(유)조이앤시네마,2021,11,49.0,412.0,액션,15세이상관람가,5.8,5.090909090909091,5.445454545454545,1,1,415,2,3,2,1
"극장판 포켓몬스터: 정글의 아이, 코코",(주)넥스트엔터테인먼트월드(NEW),2021,9,699.0,395.0,애니메이션,전체관람가,9.15,5.805714285714285,7.477857142857143,0,2,399,2,3,2,0
에이펙스,(주)누리픽쳐스,2021,11,50.0,375.0,액션,15세이상관람가,1.59,5.090909090909091,3.3404545454545453,1,1,380,2,3,2,1
숏버스 감독행,"언더식스티,(주)퍼니콘",2021,11,14.0,340.0,드라마,15세이상관람가,8.14,6.0,7.07,2,1,348,2,3,2,2
앰뷸런스,(주)까멜리아이엔티,2021,11,9.0,320.0,스릴러,15세이상관람가,7.4,5.67,6.535,7,1,330,2,3,2,7
보이 비하인드 도어,(주)영화사 안다미로,2021,10,5.0,293.0,공포(호러),청소년관람불가,5.71,4.6223809523809525,5.166190476190476,5,3,300,2,3,2,5
퍼펙트 스틸,(주)팝엔터테인먼트,2021,10,66.0,276.0,범죄,15세이상관람가,6.14,4.0,5.07,4,1,283,2,3,2,4
숏버스 섬뜩행,"언더식스티,(주)퍼니콘",2021,10,13.0,258.0,드라마,15세이상관람가,7.4,5.0,6.2,2,1,265,2,3,1,2
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021,8,355.0,250.0,애니메이션,전체관람가,9.46,5.0,7.23,0,2,258,1,2,1,0
화이트데이: 부서진 결계,(주)제이앤씨미디어그룹,2021,10,356.0,240.0,공포(호러),15세이상관람가,6.759047619047619,1.5,4.12952380952381,5,1,249,2,3,1,5
매직 스쿨: 초보마법사 아우라의 대모험,(주)디스테이션,2021,10,212.0,232.0,애니메이션,전체관람가,5.62,6.476857142857143,6.0484285714285715,0,2,241,2,3,1,0
최선의 삶,(주)엣나인필름,2021,9,101.0,231.0,드라마,15세이상관람가,7.533771929824562,6.71,7.1218859649122805,2,1,240,2,3,1,2
타다: 대한민국 스타트업의 초상,(주)넥스트엔터테인먼트월드(NEW),2021,10,73.0,226.0,다큐멘터리,전체관람가,8.62,6.0,7.31,8,2,235,2,3,1,8
꽃다발 같은 사랑을 했다,"(주)리틀빅픽쳐스,(주)레드로버",2021,7,198.0,205.0,멜로/로맨스,12세이상관람가,8.47,6.5,7.485,3,0,213,1,2,1,3
센코롤 커넥트,(주)미디어캐슬,2021,10,5.0,189.0,애니메이션,12세이상관람가,0.0,6.476857142857143,3.2384285714285714,0,0,197,2,3,1,0
맨 인 러브,(주)콘텐츠판다,2021,11,5.0,180.0,멜로/로맨스,15세이상관람가,6.55,5.6069047619047625,6.078452380952381,3,1,188,2,3,1,3
스피릿,유니버설픽쳐스인터내셔널 코리아(유),2021,9,138.0,172.0,애니메이션,전체관람가,8.113118279569893,6.1,7.106559139784946,0,2,181,2,3,1,0
애프터 에브리씽,와이드 릴리즈(주),2021,11,4.0,160.0,멜로/로맨스,청소년관람불가,5.29,5.6069047619047625,5.448452380952381,3,3,167,2,3,1,3
코스모볼,와이드 릴리즈(주),2021,11,3.0,160.0,SF,12세이상관람가,0.0,5.166666666666667,2.5833333333333335,13,0,167,2,3,1,13
노매드랜드,월트디즈니컴퍼니코리아 유한책임회사,2021,4,181.0,157.0,드라마,12세이상관람가,8.53,8.0,8.265,2,0,163,0,1,1,2
갈매기,(주)영화사 진진,2021,7,42.0,140.0,드라마,15세이상관람가,7.655681818181819,6.5,7.077840909090909,2,1,145,1,2,1,2
아버지의 길,(주)엣나인필름,2021,9,34.0,107.0,드라마,12세이상관람가,8.0,7.0,7.5,2,0,110,2,3,1,2
졸트,(주)제이앤씨미디어그룹,2021,10,83.0,102.0,액션,15세이상관람가,5.79,4.67,5.23,1,1,105,2,3,1,1
원티드 킬러,주식회사 더쿱,2021,11,5.0,100.0,드라마,15세이상관람가,6.6,6.0,6.3,2,1,103,2,3,1,2
진혼법사,주식회사 루믹스미디어,2021,11,5.0,100.0,액션,15세이상관람가,7.5,5.090909090909091,6.295454545454545,1,1,103,2,3,1,1
스페이스 독 3: 트로피컬 어드벤처,(주)박수엔터테인먼트,2021,10,172.0,95.0,애니메이션,전체관람가,6.12,6.476857142857143,6.2984285714285715,0,2,98,2,3,1,0
자마,M&M 인터내셔널,2021,8,34.0,95.0,드라마,15세이상관람가,7.58,8.25,7.915,2,1,98,1,2,1,2
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,(주)애니플러스,2021,9,86.0,88.0,애니메이션,전체관람가,9.21,5.805714285714285,7.507857142857143,0,2,91,2,3,1,0
스티브 맥퀸: 더 맨 앤 르망,(주)영화사오원,2021,10,15.0,85.0,다큐멘터리,12세이상관람가,9.0,6.0,7.5,8,0,88,2,3,1,8
트립 투 그리스,"찬란,하이, 스트레인저",2021,7,48.0,76.0,코미디,15세이상관람가,7.0,6.0,6.5,6,1,79,1,2,1,6
타임 이즈 업,판씨네마(주),2021,11,3.0,71.0,멜로/로맨스,15세이상관람가,1.5,3.5,2.5,3,1,73,2,3,1,3
보스 베이비 2,유니버설픽쳐스인터내셔널 코리아(유),2021,7,63.0,69.0,애니메이션,전체관람가,8.96,5.5,7.23,0,2,71,1,2,1,0
피닉스,M&M 인터내셔널,2021,7,54.0,65.0,드라마,12세이상관람가,7.17,6.0,6.585,2,0,67,1,2,1,2
천지열혈 양가장,(유)조이앤시네마,2021,11,5.0,52.0,액션,15세이상관람가,0.0,5.090909090909091,2.5454545454545454,1,1,52,2,3,1,1
