영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
신조영웅,(유)조이앤시네마,2021,12,5.0,13.0,판타지,12세이상관람가,7.06,6.0
앰뷸런스,(주)까멜리아이엔티,2021,11,9.0,13.0,스릴러,15세이상관람가,8.4,6.33
크림,알토미디어(주),2021,11,22.0,12.0,멜로/로맨스,15세이상관람가,8.32,6.0
미켈란젤로,(주)퍼스트런,2021,9,20.0,8.0,드라마,12세이상관람가,6.38,6.5
고양이에게 밥을 주지 마세요,목영이엔엠,2021,11,16.0,7.0,다큐멘터리,전체관람가,6.73,3.0
흑협: 무림영웅단,(유)조이앤시네마,2021,11,5.0,6.0,액션,15세이상관람가,7.02,5.8
가치 캅시다,(주)스튜디오 보난자,2021,10,43.0,4.0,드라마,15세이상관람가,7.68,7.33
도굴: 귀취전설,(유)조이앤시네마,2021,11,5.0,4.0,액션,12세이상관람가,8.75,6.0
세버그,예지림엔터테인먼트,2021,11,107.0,4.0,드라마,15세이상관람가,6.87,5.0
가족의 색깔,(주)영화사 진진,2021,10,20.0,3.0,드라마,전체관람가,5.26,4.5
첫눈이 사라졌다,(주)다자인소프트,2021,10,66.0,2.0,판타지,15세이상관람가,8.26,5.0
울림의 탄생,영화배급협동조합 씨네소파,2021,10,7.0,1.0,다큐멘터리,전체관람가,7.8,6.33
특송,(주)넥스트엔터테인먼트월드(NEW),2022,1,996.0,,범죄,15세이상관람가,9.47,5.0
하우스 오브 구찌,유니버설픽쳐스인터내셔널 코리아(유),2022,1,734.0,,범죄,15세이상관람가,8.11,6.67
해피 뉴 이어,"(주)씨제이이엔엠,주식회사 티빙",2021,12,832.0,,멜로/로맨스,12세이상관람가,6.14,3.0
웨스트 사이드 스토리,월트디즈니컴퍼니코리아 유한책임회사,2022,1,754.0,,드라마,12세이상관람가,6.38,6.0
극장판 안녕 자두야: 제주도의 비밀,(주)씨제이이엔엠,2022,1,618.0,,애니메이션,전체관람가,8.4,7.75
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,,드라마,15세이상관람가,7.15,6.1
클리포드 더 빅 레드 독,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,356.0,,어드벤처,전체관람가,7.41,7.0
레지던트 이블: 라쿤시티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,1,276.0,,액션,청소년관람불가,7.56,7.0
비욘드라이브 더 무비 : 엔시티 레조넌스,씨제이 씨지브이(CJ CGV)(주),2022,1,34.0,,공연,전체관람가,6.24,5.0
어나더 라운드,(주)엣나인필름,2022,1,175.0,,코미디,15세이상관람가,4.5,3.0
매트릭스: 리저렉션,워너브러더스 코리아(주),2021,12,970.0,,액션,15세이상관람가,7.4,6.6
청춘적니,(주)다자인소프트,2022,1,112.0,,멜로/로맨스,12세이상관람가,9.88,7.67
도쿄 리벤저스,(주)넥스트엔터테인먼트월드(NEW),2022,1,216.0,,드라마,15세이상관람가,7.29,4.0
장민호 드라마 최종회,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,81.0,,공연,전체관람가,5.49,5.0
신데렐라 2: 마법에 걸린 왕자,(주)박수엔터테인먼트,2021,12,355.0,,애니메이션,전체관람가,,5.67
프랑스,M&M 인터내셔널,2022,1,54.0,,드라마,12세이상관람가,8.84,6.5
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,(주)애니플러스,2021,12,110.0,,애니메이션,12세이상관람가,8.66,7.5
램,오드,2021,12,123.0,,공포(호러),15세이상관람가,7.43,5.0
프리! 더 파이널 스트로크 전편,(주)애니플러스,2022,1,77.0,,애니메이션,전체관람가,6.7,4.0
걸즈 앤 판처 최종장 제3화,(주)디스테이션,2022,1,43.0,,애니메이션,12세이상관람가,7.14,5.67
미싱타는 여자들,(주)영화사 진진,2022,1,39.0,,다큐멘터리,전체관람가,6.78,5.0
인어가 잠든 집,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022,1,90.0,,드라마,12세이상관람가,9.76,6.0
해탄적일천,(주)에이썸엔터테인먼트,2022,1,44.0,,드라마,12세이상관람가,5.75,6.5
블루버스데이,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,43.0,,멜로/로맨스,12세이상관람가,4.0,4.5
노웨어 스페셜,"그린나래미디어(주),(주)인터파크",2021,12,62.0,,드라마,전체관람가,,6.33
원 세컨드,찬란,2022,1,42.0,,드라마,12세이상관람가,0.0,
극장판 천재 추리 탐정 셜록홈즈,(주)넥스트엔터테인먼트월드(NEW),2022,1,134.0,,애니메이션,전체관람가,7.4,7.0
프렌치 디스패치,월트디즈니컴퍼니코리아 유한책임회사,2021,11,273.0,,코미디,15세이상관람가,6.06,
연애 빠진 로맨스,(주)씨제이이엔엠,2021,11,967.0,,멜로/로맨스,15세이상관람가,8.5,8.38
피드백,(주)스튜디오 보난자,2022,1,38.0,,공포(호러),청소년관람불가,7.24,6.33
엔드게임: 나는 킬러다,찬란,2022,1,41.0,,액션,15세이상관람가,8.28,5.5
태일이,(주)리틀빅픽쳐스,2021,12,458.0,,애니메이션,전체관람가,7.91,6.0
바이올렛 에버가든 오케스트라 콘서트 2021,(주)라이크콘텐츠,2022,1,22.0,,공연,전체관람가,7.0,5.67
전장의 피아니스트,찬란,2022,1,29.0,,드라마,12세이상관람가,9.75,
미스터 앤 미세스 아델만,(주)라이크콘텐츠,2022,1,44.0,,코미디,청소년관람불가,7.22,
존경하고 사랑하는 국민여러분,"주식회사 블루필름웍스,(주)영화사메이플러스",2022,1,22.0,,다큐멘터리,12세이상관람가,6.98,
임신한 나무와 도깨비,(주)시네마달,2022,1,20.0,,드라마,15세이상관람가,7.45,8.0
마이 뉴욕 다이어리,(주)영화사 진진,2021,12,180.0,,드라마,12세이상관람가,5.8,
라임크라임,(주)시네마달,2021,11,25.0,,드라마,15세이상관람가,9.15,
라스트 나잇 인 소호,유니버설픽쳐스인터내셔널 코리아(유),2021,12,511.0,,공포(호러),청소년관람불가,1.59,
리틀 뱀파이어,(주)디스테이션,2021,12,116.0,,애니메이션,전체관람가,8.14,6.0
사울 레이터: 인 노 그레이트 허리,(주)글린트,2021,12,14.0,,다큐멘터리,전체관람가,7.4,5.67
"틱, 틱... 붐!",씨제이 씨지브이(CJ CGV)(주),2021,11,108.0,,드라마,12세이상관람가,5.65,
레이징 파이어,"(주)제이앤씨미디어그룹,(주)씨네필운",2022,1,60.0,,액션,15세이상관람가,5.71,
티탄,"(주)영화특별시에스엠씨,주식회사 왓챠",2021,12,92.0,931.0,드라마,청소년관람불가,6.14,4.0
고스트버스터즈 라이즈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,12,888.0,912.0,어드벤처,12세이상관람가,7.4,5.0
그림자꽃,(주)엣나인필름,2021,10,89.0,871.0,다큐멘터리,12세이상관람가,9.46,5.0
포 언투 어스,(사)그라시아스합창단,2022,1,1.0,750.0,뮤지컬,전체관람가,,1.5
스피드 : 레이스 1,(주)영화사오원,2022,1,16.0,728.0,액션,12세이상관람가,5.62,
아이 스틸 빌리브,(주)이놀미디어,2022,1,33.0,718.0,드라마,전체관람가,,6.71
해피 아워,(주)트리플픽쳐스,2021,12,15.0,718.0,드라마,15세이상관람가,8.62,6.0
끝없음에 관하여,찬란,2021,12,38.0,707.0,기타,12세이상관람가,8.47,6.5
괴짜들의 로맨스,메가박스중앙(주),2021,11,152.0,699.0,멜로/로맨스,12세이상관람가,0.0,
노회찬6411,"(주)리틀빅픽쳐스,시네마6411",2021,10,154.0,672.0,다큐멘터리,12세이상관람가,6.55,
데드락: 라스트 리벤지,(주)누리픽쳐스,2022,1,50.0,650.0,기타,15세이상관람가,,6.1
효자,(주)드림팩트엔터테인먼트,2022,1,16.0,630.0,코미디,15세이상관람가,5.29,
동백,시네마 뉴원,2021,10,60.0,600.0,드라마,12세이상관람가,0.0,
아담스 패밀리 2,유니버설픽쳐스인터내셔널 코리아(유),2021,11,750.0,586.0,애니메이션,전체관람가,8.53,8.0
시카리오: 나이트 오브 이스케이프,(주)이놀미디어,2022,1,50.0,500.0,액션,15세이상관람가,,6.5
투모로우 아포칼립스,(유)조이앤시네마,2022,1,50.0,465.0,어드벤처,15세이상관람가,8.0,7.0
파워 오브 도그,씨제이 씨지브이(CJ CGV)(주),2021,11,113.0,453.0,드라마,15세이상관람가,5.79,4.67
사막을 건너 호수를 지나,영화배급협동조합 씨네소파,2021,12,12.0,452.0,다큐멘터리,전체관람가,6.6,6.0
몬스타엑스 : 더 드리밍,씨제이포디플렉스 주식회사,2021,12,98.0,425.0,다큐멘터리,전체관람가,7.5,
타이거마스크,"(주)그노스,(주)다날엔터테인먼트",2021,12,36.0,400.0,코미디,12세이상관람가,6.12,
강릉,"(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹",2021,11,761.0,387.0,범죄,청소년관람불가,7.58,8.25
샌 안드레스 메가 대지진,(유)조이앤시네마,2022,1,48.0,383.0,액션,12세이상관람가,9.21,
퍼스트 카우,(주)영화사 진진,2021,11,38.0,360.0,드라마,12세이상관람가,9.0,6.0
캅샵: 미친놈들의 전쟁,"(주)제이앤씨미디어그룹,(주)씨네필운",2021,12,139.0,358.0,액션,15세이상관람가,7.0,6.0
숏버스 배우행,"언더식스티,(주)퍼니콘",2021,12,16.0,350.0,드라마,12세이상관람가,1.5,3.5
"천년의 노래, 리버스",(주)이놀미디어,2022,1,10.0,349.0,공연,전체관람가,8.96,5.5
걸 위드 더 카메라,(주)영화사 그램,2022,1,11.0,330.0,다큐멘터리,12세이상관람가,7.17,6.0
메이드 인 이태리,오드,2021,11,124.0,322.0,드라마,12세이상관람가,0.0,
나는 조선사람입니다,"㈜인디스토리,엠앤씨에프",2021,12,23.0,317.0,다큐멘터리,12세이상관람가,8.92,6.5
그린 나이트,(주)팝엔터테인먼트,2021,8,235.0,308.0,어드벤처,15세이상관람가,8.33,6.0
돈 룩 업,씨제이 씨지브이(CJ CGV)(주),2021,12,656.0,283.0,코미디,15세이상관람가,0.0,
뱅드림! 필름 라이브 세컨드 스테이지,(주)애니플러스,2021,11,93.0,280.0,애니메이션,전체관람가,0.0,
긴 하루,하준사,2021,12,12.0,260.0,드라마,12세이상관람가,7.04,8.5
피부를 판 남자,판씨네마(주),2021,12,43.0,223.0,드라마,12세이상관람가,8.23,6.0
너에게 가는 길,(주)엣나인필름,2021,11,56.0,221.0,다큐멘터리,12세이상관람가,0.0,
디어 에반 핸슨,유니버설픽쳐스인터내셔널 코리아(유),2021,11,631.0,214.0,뮤지컬,12세이상관람가,7.71,7.0
좀비 살아있다,(유)조이앤시네마,2022,1,26.0,205.0,액션,15세이상관람가,8.3,
피어: 마지막 생존자,(주)제이브로,2021,12,20.0,200.0,액션,15세이상관람가,0.0,
보리스 고두노프,(주) 인스터 글로벌,2022,1,6.0,199.0,공연,전체관람가,8.76,
신들의 분노,(주)스튜디오디에이치엘,2022,1,6.0,172.0,액션,15세이상관람가,0.0,
리슨,워터홀컴퍼니(주),2021,12,232.0,134.0,드라마,12세이상관람가,5.83,
노트르담,(주)엣나인필름,2021,12,15.0,128.0,드라마,15세이상관람가,,7.17
블러드써스티,(주)블루라벨픽쳐스,2022,1,5.0,122.0,공포(호러),15세이상관람가,,
트로트는 인생이다,시네마 뉴원,2022,1,8.0,122.0,코미디,15세이상관람가,9.0,6.5
십계,"(재)CBS,주식회사 블루필름웍스",2021,12,81.0,104.0,애니메이션,전체관람가,7.52,3.0
필로포비아,(주)드림팩트엔터테인먼트,2021,12,10.0,104.0,코미디,청소년관람불가,0.0,
더 모텔,(주)제이에이와이이엔터테인먼트,2022,1,5.0,100.0,스릴러,청소년관람불가,7.63,6.0
수호무적,(주)제이에이와이이엔터테인먼트,2022,1,5.0,100.0,액션,15세이상관람가,10.0,
탈명검: 풍운재기,(주)액티버스엔터테인먼트,2022,1,4.0,100.0,액션,12세이상관람가,,5.8
밀라노 두오모 콘서트,일미디어,2022,1,6.0,86.0,공연,전체관람가,,
소설가 구보의 하루,필름다빈,2021,12,36.0,82.0,드라마,12세이상관람가,7.33,5.33
간호중,찬란,2021,12,16.0,80.0,SF,15세이상관람가,8.62,4.0
행복의 속도,(주)영화사 진진,2021,11,23.0,73.0,다큐멘터리,전체관람가,8.17,4.5
로그 인 벨지움,(주)엣나인필름,2021,12,53.0,72.0,다큐멘터리,전체관람가,2.0,
원샷,"주식회사 풍경소리,(주)타임앤드스페이스",2022,1,50.0,72.0,액션,15세이상관람가,8.62,6.67
미결처리반 Q: 침묵의 암살자,(주)콘텐츠판다,2022,1,4.0,62.0,범죄,15세이상관람가,8.0,6.0
코다,판씨네마(주),2021,8,308.0,61.0,드라마,12세이상관람가,8.21,6.5
베네데타,(주)팝엔터테인먼트,2021,12,157.0,60.0,드라마,청소년관람불가,8.54,5.67
무녀도,(주)씨네필운,2021,11,49.0,55.0,뮤지컬,12세이상관람가,8.09,8.0
신조영웅,(유)조이앤시네마,2021,12,5.0,51.0,판타지,12세이상관람가,7.41,5.0
기문환생2: 강호혈투,(유)조이앤시네마,2021,12,6.0,49.0,멜로/로맨스,12세이상관람가,0.0,
보는 것을 사랑한다,(주)드림팩트엔터테인먼트,2021,10,8.0,48.0,다큐멘터리,전체관람가,0.0,
싸나희 순정,(주)마노엔터테인먼트,2021,11,41.0,47.0,드라마,12세이상관람가,8.86,
글래디에이터 썬더,(유)조이앤시네마,2022,1,5.0,45.0,액션,15세이상관람가,9.09,7.0
신조무림,(유)조이앤시네마,2021,12,5.0,45.0,판타지,15세이상관람가,7.49,6.5
아네트,"그린나래미디어(주),주식회사 왓챠",2021,10,330.0,41.0,드라마,15세이상관람가,7.48,5.33
금의위: 초능척살대,초코필름,2022,1,5.0,40.0,액션,12세이상관람가,7.95,6.67
대무사,초코필름,2022,1,2.0,40.0,액션,15세이상관람가,7.81,6.5
노아의 방주 2: 새로운 세계로,"(주)대교 미디어콘텐츠사업본부,(주)팝엔터테인먼트",2021,12,167.0,39.0,애니메이션,전체관람가,6.09,6.75
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,37.0,드라마,15세이상관람가,8.85,6.79
그레이트 샤크2,(유)조이앤시네마,2021,12,50.0,34.0,액션,12세이상관람가,6.55,4.5
메모리: 조작살인,(주)드림팩트엔터테인먼트,2021,12,5.0,29.0,미스터리,청소년관람불가,7.24,5.67
기문둔갑: 괴소소녀,(유)조이앤시네마,2021,12,5.0,28.0,판타지,12세이상관람가,8.23,7.5
종착역,필름다빈,2021,9,49.0,27.0,드라마,전체관람가,8.45,6.4
"사비나: 그리스도를 위한 고난, 나치 시대",커넥트픽쳐스(주),2021,11,44.0,24.0,드라마,12세이상관람가,6.42,6.4
총을 들지 않는 사람들: 금기에 도전,(주)스튜디오 보난자,2021,12,9.0,23.0,다큐멘터리,12세이상관람가,7.71,7.0
킬링 카인드: 킬러의 수제자,(주)제이앤씨미디어그룹,2021,12,129.0,21.0,액션,15세이상관람가,7.06,6.33
라라와 크리스마스 요정,(주)트리플픽쳐스,2021,12,141.0,19.0,애니메이션,전체관람가,8.26,5.0
특수부대 코만도,(유)조이앤시네마,2022,1,5.0,18.0,액션,15세이상관람가,9.63,
기문환생,(유)조이앤시네마,2021,12,7.0,15.0,판타지,15세이상관람가,6.94,4.0
보조바퀴,주식회사 필름초이스,2021,11,1.0,12.0,드라마,전체관람가,7.85,5.0
인생게임,(주)콘텐츠윙,2021,12,2.0,12.0,드라마,12세이상관람가,7.89,6.6
2솔져스: 배틀필드,(유)조이앤시네마,2021,12,5.0,12.0,액션,15세이상관람가,8.68,8.5
무림팔선,(유)조이앤시네마,2021,12,5.0,11.0,판타지,15세이상관람가,8.86,
피닉스,M&M 인터내셔널,2021,7,54.0,10.0,드라마,12세이상관람가,7.1,6.0
무림철검,(유)조이앤시네마,2021,12,5.0,8.0,기타,15세이상관람가,7.85,8.0
"1975 킬링필드, 푸난",그린나래미디어(주),2022,1,1.0,8.0,애니메이션,12세이상관람가,7.11,7.75
스파이 캣,"(주)라이크콘텐츠,주식회사 블루필름웍스",2021,12,137.0,7.0,애니메이션,전체관람가,,
"러브 어페어: 우리가 말하는 것, 우리가 하는 것",주식회사 슈아픽처스,2021,11,32.0,6.0,드라마,15세이상관람가,5.8,5.33
로그북,시네마 뉴원,2021,11,15.0,5.0,다큐멘터리,전체관람가,7.2,5.75
1984 최동원,(주)트리플픽쳐스,2021,11,172.0,5.0,다큐멘터리,전체관람가,7.07,6.67
쁘띠 마망,찬란,2021,10,97.0,4.0,드라마,전체관람가,7.74,6.5
워 서바이버,(주)영진크리에이티브,2022,1,4.0,4.0,액션,청소년관람불가,7.2,5.0
"나의 끝, 당신의 시작",(주)마노엔터테인먼트,2021,11,16.0,3.0,드라마,15세이상관람가,9.22,7.25
가족의 색깔,(주)영화사 진진,2021,10,20.0,2.0,드라마,전체관람가,8.0,6.0
당신은 믿지 않겠지만,(주)디오시네마,2021,10,100.0,2.0,드라마,12세이상관람가,8.0,
첫눈이 사라졌다,(주)다자인소프트,2021,10,66.0,2.0,판타지,15세이상관람가,8.43,6.0
아워 미드나잇,필름다빈,2021,11,50.0,1.0,드라마,12세이상관람가,8.27,5.0
유혹의 한계,(주)티앤엘엔터테인먼트,2022,1,1.0,1.0,스릴러,15세이상관람가,6.43,4.0
최선의 삶,(주)엣나인필름,2021,9,101.0,1.0,드라마,15세이상관람가,6.69,6.0
킬러 하이드,(주)씨네마블랙,2022,1,1.0,1.0,액션,15세이상관람가,6.84,5.56
파이널 싸움의 기술,(주)영화사 사계절,2022,1,1.0,1.0,액션,청소년관람불가,6.47,5.5
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,,애니메이션,15세이상관람가,9.22,6.33
극장판 안녕 자두야: 제주도의 비밀,(주)씨제이이엔엠,2022,1,618.0,,애니메이션,전체관람가,8.33,5.5
안테벨룸,(주)올스타엔터테인먼트,2022,2,638.0,,미스터리,15세이상관람가,8.26,6.0
인민을 위해 복무하라,(주)제이앤씨미디어그룹,2022,2,598.0,,멜로/로맨스,청소년관람불가,7.06,6.0
355,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022,2,540.0,,액션,15세이상관람가,8.24,7.63
나의 촛불,트윈플러스파트너스(주),2022,2,294.0,,다큐멘터리,전체관람가,8.81,8.0
나이트메어 앨리,월트디즈니컴퍼니코리아 유한책임회사,2022,2,461.0,,범죄,15세이상관람가,6.78,5.0
하우스 오브 구찌,유니버설픽쳐스인터내셔널 코리아(유),2022,1,734.0,,범죄,15세이상관람가,6.76,5.0
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,와이드 릴리즈(주),2022,2,236.0,,애니메이션,전체관람가,8.75,6.0
만년이 지나도 변하지 않는 게 있어,"그린나래미디어(주),(주)영화사벌집",2022,2,297.0,,멜로/로맨스,12세이상관람가,8.37,8.57
시라노,유니버설픽쳐스인터내셔널 코리아(유),2022,2,195.0,,멜로/로맨스,12세이상관람가,9.0,6.5
리코리쉬 피자,유니버설픽쳐스인터내셔널 코리아(유),2022,2,222.0,,멜로/로맨스,15세이상관람가,5.0,4.0
특송,(주)넥스트엔터테인먼트월드(NEW),2022,1,996.0,,범죄,15세이상관람가,,6.67
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,,드라마,15세이상관람가,5.0,5.0
어나더 라운드,(주)엣나인필름,2022,1,175.0,,코미디,15세이상관람가,7.75,5.0
웨스트 사이드 스토리,월트디즈니컴퍼니코리아 유한책임회사,2022,1,754.0,,드라마,12세이상관람가,6.73,3.0
피그,판씨네마(주),2022,2,113.0,,드라마,12세이상관람가,8.26,5.0
프리! 더 파이널 스트로크 전편,(주)애니플러스,2022,1,77.0,,애니메이션,전체관람가,7.55,5.0
굿 보스,(주)디스테이션,2022,2,85.0,,드라마,15세이상관람가,9.76,6.0
해피 뉴 이어,"(주)씨제이이엔엠,주식회사 티빙",2021,12,832.0,,멜로/로맨스,12세이상관람가,8.32,6.0
전투왕,"(주)씨네포트,주식회사 블루필름웍스",2022,2,41.0,,다큐멘터리,12세이상관람가,8.66,7.5
광대: 소리꾼,트윈플러스파트너스(주),2022,2,116.0,,사극,12세이상관람가,6.5,7.75
애니멀 체인지,와이드 릴리즈(주),2022,2,155.0,,애니메이션,전체관람가,8.55,6.0
매트릭스: 리저렉션,워너브러더스 코리아(주),2021,12,970.0,,액션,15세이상관람가,6.38,6.0
매미소리,(주)드림팩트엔터테인먼트,2022,2,70.0,,드라마,15세이상관람가,5.0,
우리가 사랑이라고 믿는 것,(주)티캐스트,2022,2,44.0,,드라마,12세이상관람가,6.7,4.0
미싱타는 여자들,(주)영화사 진진,2022,1,39.0,,다큐멘터리,전체관람가,7.21,7.5
인어가 잠든 집,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022,1,90.0,,드라마,12세이상관람가,8.38,6.33
리프레쉬,(주)이놀미디어,2022,2,44.0,,드라마,12세이상관람가,6.39,5.5
비틀즈 겟 백: 루프탑 콘서트,월트디즈니컴퍼니코리아 유한책임회사,2022,2,15.0,,다큐멘터리,12세이상관람가,6.24,5.0
극장판 천재 추리 탐정 셜록홈즈,(주)넥스트엔터테인먼트월드(NEW),2022,1,134.0,,애니메이션,전체관람가,4.5,3.0
원 세컨드,찬란,2022,1,42.0,,드라마,12세이상관람가,8.5,6.67
라스트 나잇 인 소호,유니버설픽쳐스인터내셔널 코리아(유),2021,12,511.0,,공포(호러),청소년관람불가,8.46,9.5
레지던트 이블: 라쿤시티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,1,276.0,,액션,청소년관람불가,6.0,5.5
역으로 가는 길을 알려줘,(주)영화사 진진,2022,2,25.0,,드라마,전체관람가,0.0,
가슴이 떨리는 건 너 때문,(주)블루라벨픽쳐스,2022,2,53.0,,멜로/로맨스,12세이상관람가,,6.33
장민호 드라마 최종회,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,81.0,,공연,전체관람가,6.38,6.5
돈 룩 업,씨제이 씨지브이(CJ CGV)(주),2021,12,656.0,,코미디,15세이상관람가,8.4,6.33
클리포드 더 빅 레드 독,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,356.0,,어드벤처,전체관람가,5.5,8.0
스크림,롯데컬처웍스(주)롯데엔터테인먼트,2022,2,29.0,,공포(호러),청소년관람불가,7.61,
도쿄 리벤저스,(주)넥스트엔터테인먼트월드(NEW),2022,1,216.0,,드라마,15세이상관람가,7.5,6.0
프랑스,M&M 인터내셔널,2022,1,54.0,,드라마,12세이상관람가,9.67,
서바이벌리스트,(주)라이크콘텐츠,2022,2,15.0,,액션,15세이상관람가,8.11,6.67
코다,판씨네마(주),2021,8,308.0,,드라마,12세이상관람가,8.45,6.0
태일이,(주)리틀빅픽쳐스,2021,12,458.0,,애니메이션,전체관람가,7.04,8.5
베네데타,(주)팝엔터테인먼트,2021,12,157.0,,드라마,청소년관람불가,2.8,
셰터드,주식회사 풍경소리,2022,2,50.0,,스릴러,청소년관람불가,6.87,5.0
늦봄2020,주식회사 블루필름웍스,2022,2,12.0,,다큐멘터리,전체관람가,4.28,4.0
와일드 리벤지: 마지막 한 놈까지,주식회사 풍경소리,2022,2,50.0,,액션,청소년관람불가,6.67,4.0
파워 오브 도그,씨제이 씨지브이(CJ CGV)(주),2021,11,113.0,,드라마,15세이상관람가,6.0,
보드랍게,(주)인디플러그,2022,2,20.0,944.0,다큐멘터리,전체관람가,7.68,7.33
1984 최동원,(주)트리플픽쳐스,2021,11,171.0,889.0,다큐멘터리,전체관람가,,5.8
더 마더,(주)스튜디오디에이치엘,2022,2,32.0,876.0,스릴러,15세이상관람가,8.71,6.0
축복의 집,필름다빈,2022,2,17.0,854.0,가족,12세이상관람가,9.38,
임신한 나무와 도깨비,(주)시네마달,2022,1,20.0,830.0,드라마,15세이상관람가,7.0,
프렌치 디스패치,월트디즈니컴퍼니코리아 유한책임회사,2021,11,273.0,674.0,코미디,15세이상관람가,7.8,6.33
온 세상이 하얗다,(주)트리플픽쳐스,2022,2,18.0,605.0,멜로/로맨스,15세이상관람가,,5.33
세라비: 다섯 번의 기적,(주)트리플픽쳐스,2022,2,25.0,567.0,코미디,15세이상관람가,7.7,6.0
데드락: 라스트 리벤지,(주)누리픽쳐스,2022,1,50.0,500.0,기타,15세이상관람가,8.43,5.0
코만도,(주)이놀미디어,2022,2,50.0,500.0,액션,청소년관람불가,1.59,
시크릿 카운터,(주)디오시네마,2022,2,25.0,496.0,기타,15세이상관람가,4.96,3.0
행성충돌: 지구 최후의 날,(유)조이앤시네마,2022,2,53.0,485.0,어드벤처,15세이상관람가,8.47,6.75
엔드게임: 나는 킬러다,찬란,2022,1,41.0,457.0,액션,15세이상관람가,4.0,
대한민국 대통령,(주)라이크콘텐츠,2022,2,22.0,431.0,다큐멘터리,전체관람가,8.4,7.75
효자,(주)드림팩트엔터테인먼트,2022,1,16.0,416.0,코미디,15세이상관람가,8.6,6.0
미스터 앤 미세스 아델만,(주)라이크콘텐츠,2022,1,44.0,405.0,코미디,청소년관람불가,9.46,5.0
해탄적일천,(주)에이썸엔터테인먼트,2022,1,44.0,376.0,드라마,12세이상관람가,4.96,4.0
창극 변강쇠 점 찍고 옹녀,(주)이놀미디어,2022,2,13.0,368.0,공연,15세이상관람가,8.28,5.5
존경하고 사랑하는 국민여러분,"주식회사 블루필름웍스,(주)영화사메이플러스",2022,1,22.0,360.0,다큐멘터리,12세이상관람가,8.62,6.0
청춘적니,(주)다자인소프트,2022,1,112.0,348.0,멜로/로맨스,12세이상관람가,8.14,6.0
레이징 파이어,"(주)제이앤씨미디어그룹,(주)씨네필운",2022,1,60.0,321.0,액션,15세이상관람가,5.65,
미인,필름에이픽쳐스,2022,2,5.0,275.0,다큐멘터리,전체관람가,8.47,6.5
"틱, 틱... 붐!",씨제이 씨지브이(CJ CGV)(주),2021,11,108.0,236.0,드라마,12세이상관람가,7.17,6.0
신데렐라 2: 마법에 걸린 왕자,(주)박수엔터테인먼트,2021,12,355.0,228.0,애니메이션,전체관람가,7.86,4.75
연애 빠진 로맨스,(주)씨제이이엔엠,2021,11,967.0,227.0,멜로/로맨스,15세이상관람가,4.93,3.67
트로트는 인생이다,시네마 뉴원,2022,1,8.0,211.0,코미디,15세이상관람가,,6.71
파이어 셧 업 인 마이 본즈,(주) 인스터 글로벌,2022,2,6.0,208.0,공연,12세이상관람가,8.0,
아웃브레이크 호텔,(주)씨네마블랙,2022,2,5.0,207.0,스릴러,15세이상관람가,0.0,
짬뽕비권,(주)콘텐츠판다,2022,2,9.0,167.0,액션,12세이상관람가,7.45,6.0
밴드스탠드,(주)위즈온센,2022,2,15.0,161.0,공연,12세이상관람가,7.94,5.0
블러드써스티,(주)블루라벨픽쳐스,2022,1,5.0,160.0,공포(호러),15세이상관람가,6.78,5.0
너에게 가는 길,(주)엣나인필름,2021,11,56.0,157.0,다큐멘터리,12세이상관람가,0.0,
노웨어 스페셜,"그린나래미디어(주),(주)인터파크",2021,12,62.0,144.0,드라마,전체관람가,5.28,5.0
피닉스,M&M 인터내셔널,2021,7,54.0,143.0,드라마,12세이상관람가,7.41,7.0
걸 위드 더 카메라,(주)영화사 그램,2022,1,11.0,132.0,다큐멘터리,12세이상관람가,8.96,5.5
퍼스트 카우,(주)영화사 진진,2021,11,38.0,114.0,드라마,12세이상관람가,5.8,
비올레타,알토미디어(주),2022,1,27.0,108.0,드라마,청소년관람불가,10.0,
밀라노 두오모 콘서트,일미디어,2022,1,6.0,104.0,공연,전체관람가,0.0,
야연2,초코필름,2022,2,5.0,100.0,액션,15세이상관람가,5.75,6.5
