영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
크레센도 반 클라이번 콩쿠르 실황,오드,2024,1,65,942.0,공연,전체관람가,8.07,7.0
백남준: 달은 가장 오래된 TV,(주)엣나인필름,2023,12,33,717.0,다큐멘터리,12세이상관람가,7.69,8.0
교토에서 온 편지,판씨네마(주),2023,12,66,570.0,드라마,12세이상관람가,8.33,8.25
무티: 주술살인,주식회사 제이씨엔터웍스,2024,1,40,505.0,범죄,15세이상관람가,8.42,6.5
비밀,(주)영화특별시에스엠씨,2023,12,126,493.0,미스터리,청소년관람불가,6.61,6.17
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023,6,136,468.0,다큐멘터리,전체관람가,6.67,4.33
간신의 피,(주)에스와이코마드,2024,1,10,442.0,액션,15세이상관람가,0.0,
일 부코,그린나래미디어(주),2024,1,10,435.0,드라마,전체관람가,4.0,7.0
아녜스 V에 의한 제인 B,(주)영화사 안다미로,2024,1,33,401.0,판타지,청소년관람불가,7.48,6.0
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023,6,1251,374.0,애니메이션,전체관람가,,
조이랜드,주식회사 슈아픽처스,2023,12,34,344.0,드라마,15세이상관람가,8.21,8.0
봉신연의: 조가풍운,(주)스튜디오디에이치엘,2024,1,23,343.0,전쟁,12세이상관람가,5.51,8.0
두 세계 사이에서,(주)디오시네마,2024,1,35,322.0,드라마,12세이상관람가,5.52,6.4
"그리고, 살아간다",(주)미디어캐슬,2024,1,6,310.0,드라마,12세이상관람가,6.69,7.5
약속,엠라인디스트리뷰션(주),2023,11,42,267.0,다큐멘터리,전체관람가,7.29,5.5
스노우 폭스: 썰매개가 될 거야!,(주)팝엔터테인먼트,2023,11,479,265.0,애니메이션,전체관람가,6.57,
2만 종의 벌,주식회사 왓챠,2023,12,19,265.0,드라마,12세이상관람가,8.83,7.67
노 엑시트,(주)이놀미디어,2023,12,118,252.0,공포(호러),청소년관람불가,,6.5
신세계로부터,필름다빈,2023,12,20,251.0,드라마,12세이상관람가,8.4,6.91
느티나무 아래,"미디어나무(주),스튜디오 에이드",2023,11,13,211.0,다큐멘터리,전체관람가,7.94,5.33
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620,193.0,액션,15세이상관람가,5.88,4.33
