영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
그대가 조국,(주)엣나인필름,2022,5,601.0,1234.7940673828125,다큐멘터리,12세이상관람가,9.62,6.0,7.81,1,8,0,942,0,3
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,18093.880859375,애니메이션,15세이상관람가,8.91,5.838928571428572,7.374464285714286,4,0,1,1700,3,5
비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3,씨제이 씨지브이(CJ CGV)(주),2022,7,18.0,314711.0625,코미디,전체관람가,10.0,8.0,9.0,2,6,2,2012,1,5
애프터 양,"(주)영화특별시에스엠씨,주식회사 왓챠",2022,6,161.0,7971.486328125,드라마,전체관람가,8.21,5.0,6.605,2,2,2,1507,1,4
아이를 위한 아이,(주)트리플픽쳐스,2022,7,51.0,452.25,기타,12세이상관람가,8.0,7.5,7.75,2,16,0,457,1,3
모어,(주)엣나인필름,2022,6,54.0,1111.7291259765625,다큐멘터리,15세이상관람가,8.63,6.0,7.315,2,8,1,908,1,3
룸 쉐어링,"주식회사 엔픽플,트윈플러스파트너스(주)",2022,6,122.0,7971.486328125,드라마,전체관람가,6.33,6.0,6.165,2,2,2,1507,1,4
경아의 딸,㈜인디스토리,2022,6,53.0,7971.486328125,드라마,15세이상관람가,8.08,6.0,7.04,2,2,1,1507,1,4
미친 능력,(주)제이앤씨미디어그룹,2022,6,110.0,197143.4375,범죄,15세이상관람가,7.37,6.0,6.6850000000000005,2,4,1,1979,1,5
"아치의 노래, 정태춘",(주)넥스트엔터테인먼트월드(NEW),2022,5,149.0,1234.7940673828125,다큐멘터리,전체관람가,9.15,6.4,7.775,1,8,2,942,0,3
배드 럭 뱅잉,알토미디어(주),2022,7,27.0,2767.415283203125,드라마,청소년관람불가,6.42,5.0,5.71,2,2,3,1192,1,4
고스트랜드,(주)영화사오원,2022,6,48.0,5533.7001953125,액션,15세이상관람가,3.21,5.33,4.27,2,1,1,1408,1,4
메모리,(주)제이앤씨미디어그룹,2022,7,46.0,4470.91650390625,범죄,15세이상관람가,6.872,7.0,6.936,2,4,1,1340,1,4
베르네 부인의 장미정원,찬란,2022,6,37.0,7971.486328125,드라마,12세이상관람가,8.33,6.0,7.165,2,2,0,1507,1,4
임파서블 러브,(주)디오시네마,2022,7,29.0,2767.415283203125,드라마,청소년관람불가,7.15,6.1432467532467525,6.646623376623376,2,2,3,1192,1,4
핸썸,(주)박수엔터테인먼트,2022,7,37.0,314711.0625,코미디,12세이상관람가,2.73,5.0,3.865,2,6,0,2012,1,5
벰: 비컴 휴먼,(주)미디어캐슬,2022,6,5.0,251541.71875,애니메이션,15세이상관람가,8.0975,6.0,7.04875,2,0,1,1998,1,5
안녕하세요,(주)디스테이션,2022,5,297.0,5190.17041015625,드라마,12세이상관람가,9.09,6.1900892857142855,7.640044642857143,1,2,0,1389,0,4
광대: 소리꾼,트윈플러스파트너스(주),2022,2,116.0,60.0,사극,12세이상관람가,8.7,7.0,7.85,4,18,0,62,3,1
초록밤,㈜인디스토리,2022,7,31.0,452.25,기타,15세이상관람가,7.63,6.07304347826087,6.851521739130435,2,16,1,457,1,3
아이언 크로스: 노르망디 상륙작전,주식회사 풍경소리,2022,7,50.0,71.33333587646484,전쟁,15세이상관람가,5.33,7.0,6.165,2,12,1,76,1,1
실종,(주)디스테이션,2022,6,67.0,103973.1640625,스릴러,청소년관람불가,7.75,8.0,7.875,2,7,3,1932,1,5
군다,(주)영화사 진진,2022,7,21.0,798.0,다큐멘터리,전체관람가,7.71,5.938000000000001,6.824,2,8,2,732,1,3
워헌트,(주)누리픽쳐스,2022,7,50.0,760.0,액션,15세이상관람가,2.5,3.0,2.75,2,1,1,706,1,3
감동주의보,(주)스튜디오 보난자,2022,6,28.0,753.0,멜로/로맨스,전체관람가,7.85,6.2,7.025,2,3,2,701,1,3
디어헌터(감독판),주식회사 블루필름웍스,2022,6,4.0,626.0,전쟁,15세이상관람가,9.75,5.0,7.375,2,12,1,594,1,3
말임씨를 부탁해,(주)씨네필운,2022,4,197.0,560.0,드라마,전체관람가,9.13,6.67,7.9,1,2,2,546,0,3
닥터 스트레인지: 대혼돈의 멀티버스,월트디즈니컴퍼니코리아 유한책임회사,2022,5,63.0,523.0,액션,12세이상관람가,7.74,6.5,7.12,1,1,0,521,0,3
배드 가이즈,유니버설픽쳐스인터내셔널 코리아(유),2022,5,844.0,443.0,애니메이션,전체관람가,7.93709090909091,5.75,6.843545454545454,1,0,2,448,0,3
리멤버 미,(주)박수엔터테인먼트,2022,6,12.0,431.0,애니메이션,12세이상관람가,7.52,8.4,7.96,2,0,0,436,1,3
우연과 상상,"그린나래미디어(주),(주)영화사 안다미로",2022,5,56.0,424.0,드라마,15세이상관람가,8.33,5.5,6.915,1,2,1,429,0,3
우스운게 딱! 좋아!,필름다빈,2022,6,14.0,343.0,드라마,15세이상관람가,7.67,6.25272,6.96136,2,2,1,350,1,2
낙소스 섬의 아리아드네,(주) 인스터 글로벌,2022,7,6.0,342.0,공연,전체관람가,6.609285714285714,6.0627272727272725,6.336006493506494,2,14,2,349,1,2
어쌔신 트랩,(주)씨네마블랙,2022,7,5.0,340.0,액션,15세이상관람가,0.0,5.903703703703704,2.951851851851852,2,1,1,348,1,2
보통의 용기,(주)드림팩트엔터테인먼트,2022,6,7.0,323.0,다큐멘터리,전체관람가,8.41,6.0,7.205,2,8,2,334,1,2
니 부모 얼굴이 보고 싶다,(주)마인드마크,2022,4,63.0,321.0,드라마,15세이상관람가,7.65,7.33,7.49,1,2,1,332,0,2
오마주,트윈플러스파트너스(주),2022,5,133.0,275.0,드라마,12세이상관람가,7.93,6.4,7.165,1,2,0,283,0,2
태일이,(주)리틀빅픽쳐스,2021,12,458.0,250.0,애니메이션,전체관람가,8.45,6.244385964912281,7.34719298245614,4,0,2,260,3,2
핑크퐁과 아기상어의 월드투어쇼,CGV ICECON,2022,5,39.0,201.0,공연,전체관람가,0.0,2.0,1.0,1,14,2,212,0,2
데이 투 다이,"주식회사 풍경소리,(주)타임앤드스페이스",2022,7,5.0,200.0,범죄,청소년관람불가,6.872,6.185714285714285,6.528857142857143,2,4,3,211,1,2
눈감은 여름,주식회사 콘텐츠플레이,2022,6,6.0,191.0,드라마,12세이상관람가,7.57,5.5,6.535,2,2,0,202,1,2
나를 만나는 길,(주)티캐스트,2022,5,53.0,181.0,다큐멘터리,전체관람가,8.17,5.927441860465116,7.048720930232558,1,8,2,192,0,2
블레이징 썬,주식회사 풍경소리,2022,6,5.0,180.0,전쟁,청소년관람불가,4.44,6.465999999999999,5.452999999999999,2,12,3,190,1,2
언더 샤크,주식회사 루믹스미디어,2022,7,5.0,180.0,미스터리,15세이상관람가,2.09,6.5,4.295,2,9,1,190,1,2
윤시내가 사라졌다,"(주)블루라벨픽쳐스,디스트릭 몽",2022,6,51.0,160.0,드라마,12세이상관람가,7.4,6.25272,6.82636,2,2,0,169,1,2
특수요원 빼꼼,"(주)띵크,예지림엔터테인먼트,(주)인터파크",2022,6,115.0,147.0,애니메이션,전체관람가,6.59,5.873018867924528,6.231509433962264,2,0,2,154,1,2
안나푸르나: 비욘드 써밋,주식회사 풍경소리,2022,7,5.0,140.0,드라마,12세이상관람가,9.25,5.67,7.46,2,2,0,147,1,2
씽2게더,유니버설픽쳐스인터내셔널 코리아(유),2022,1,63.0,137.0,애니메이션,전체관람가,8.8,6.6,7.7,4,0,2,144,3,2
미싱타는 여자들,(주)영화사 진진,2022,1,39.0,133.0,다큐멘터리,전체관람가,8.24,5.67,6.955,4,8,2,140,3,2
신비한 동물들과 덤블도어의 비밀,워너브러더스 코리아(주),2022,4,63.0,119.0,어드벤처,12세이상관람가,6.75,6.8,6.775,1,15,0,126,0,2
어나더 라운드,(주)엣나인필름,2022,1,175.0,115.0,코미디,15세이상관람가,8.13,6.5,7.315,4,6,1,121,3,2
카시오페아,(주)트리플픽쳐스,2022,6,175.0,113.0,드라마,12세이상관람가,8.42,6.25272,7.33636,2,2,0,119,1,2
스파이형 모델,주식회사 씨엠닉스,2022,7,3.0,111.0,SF,15세이상관람가,6.71,8.0,7.355,2,13,1,116,1,2
소설가의 영화,"(주)영화제작전원사 ,(주)콘텐츠판다",2022,4,66.0,104.0,드라마,12세이상관람가,7.69,5.946783216783217,6.818391608391609,1,2,0,109,0,2
왕좌의 법칙,(주)액티버스엔터테인먼트,2022,7,5.0,100.0,전쟁,15세이상관람가,5.5,5.0,5.25,2,12,1,105,1,2
콜드워,(주)제이에이와이이엔터테인먼트,2022,7,5.0,100.0,범죄,15세이상관람가,6.4,6.0,6.2,2,4,1,105,1,2
갓길로 달리는 코뿔소,(주)26컴퍼니,2022,6,6.0,80.0,드라마,15세이상관람가,9.31,5.0,7.155,2,2,1,85,1,1
그대라는기억 연숙씨,"(주)드림팩트엔터테인먼트,주식회사 블루필름웍스",2022,6,21.0,64.0,다큐멘터리,전체관람가,9.28,6.2414035087719295,7.760701754385964,2,8,2,67,1,1
적인걸: 천안의 비밀,(주)위즈덤필름,2022,7,5.0,62.0,액션,12세이상관람가,0.0,6.33,3.165,2,1,0,64,1,1
코다,판씨네마(주),2021,8,308.0,53.0,드라마,12세이상관람가,7.315434782608696,5.0,6.157717391304348,2,2,0,54,1,1
불도저에 탄 소녀,트윈플러스파트너스(주),2022,4,203.0,44.0,드라마,15세이상관람가,7.88,6.0,6.94,1,2,1,45,0,1
데쓰 캘린더,THE 픽쳐스,2022,6,17.0,42.0,공포(호러),15세이상관람가,6.642727272727272,6.1525,6.397613636363635,2,5,1,43,1,1
리골레토,(주) 인스터 글로벌,2022,5,6.0,42.0,공연,12세이상관람가,9.25,4.5,6.875,1,14,0,43,0,1
두개의 눈,(주)이놀미디어,2022,6,9.0,39.0,공연,전체관람가,5.5,3.0,4.25,2,14,2,39,1,1
더 렛지,씨제이 씨지브이(CJ CGV)(주),2022,6,30.0,38.0,액션,15세이상관람가,6.33,5.5,5.915,2,1,1,38,1,1
태어나길 잘했어,그린나래미디어(주),2022,4,50.0,37.0,드라마,12세이상관람가,7.43,5.946783216783217,6.688391608391608,1,2,0,37,0,1
섹스 앤 퓨리,(주)태양미디어그룹,2022,7,4.0,36.0,멜로/로맨스,15세이상관람가,8.0,5.766875,6.883437499999999,2,3,1,36,1,1
금의위5-풍운제일검,(유)조이앤시네마,2022,6,5.0,25.0,액션,15세이상관람가,0.0,8.5,4.25,2,1,1,25,1,1
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,23.0,드라마,15세이상관람가,8.68,6.33,7.505,4,2,1,23,3,1
보드랍게,(주)인디플러그,2022,2,20.0,21.0,다큐멘터리,전체관람가,9.45,6.5,7.975,4,8,2,21,3,1
플레이그라운드,해피송,2022,5,43.0,13.0,드라마,12세이상관람가,7.743185840707965,6.1900892857142855,6.966637563211125,1,2,0,12,0,1
소리없는 추격자,(유)조이앤시네마,2022,6,5.0,12.0,미스터리,청소년관람불가,1.5,5.751,3.6255,2,9,3,11,1,1
