영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
트롤: 밴드 투게더,유니버설픽쳐스인터내셔널 코리아(유),2023,12,845.0,382.0,애니메이션,전체관람가,8.53,6.67,7.6,4,0,2,390,3,2
스즈메의 문단속: 다녀왔어,(주)쇼박스,2024,1,185.0,362.0,애니메이션,12세이상관람가,8.45,8.5,8.475,4,0,0,368,3,2
블루 자이언트,판씨네마(주),2023,10,574.0,311.0,애니메이션,12세이상관람가,8.7,6.5,7.6,3,0,0,322,2,2
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),2023,12,61.0,284.0,드라마,15세이상관람가,7.04,5.2,6.12,4,2,1,292,3,2
울산의 별,영화로운 형제,2024,1,21.0,280.0,드라마,15세이상관람가,6.8,6.0,6.4,4,2,1,288,3,2
립세의 사계,(주)디스테이션,2024,1,186.0,227.0,애니메이션,15세이상관람가,7.57,7.67,7.62,4,0,1,238,3,2
클럽 제로,판씨네마(주),2024,1,60.0,209.0,미스터리,12세이상관람가,7.41,6.0,6.705,4,9,0,219,3,2
일 부코,그린나래미디어(주),2024,1,10.0,166.0,드라마,전체관람가,6.33,6.5,6.415,4,2,2,177,3,2
서바이벌 택틱스,필름다빈,2024,2,12.0,163.0,드라마,12세이상관람가,8.58,7.6,8.09,4,2,0,173,3,2
백남준: 달은 가장 오래된 TV,(주)엣나인필름,2023,12,33.0,159.0,다큐멘터리,12세이상관람가,7.94,6.079677419354839,7.009838709677419,4,8,0,168,3,2
스즈메의 문단속,(주)쇼박스,2023,3,1486.0,152.0,애니메이션,12세이상관람가,8.45,6.409166666666667,7.429583333333333,1,0,0,160,0,2
킹 VS. 머신킹,(주)제이앤씨미디어그룹,2024,2,10.0,152.0,액션,12세이상관람가,7.75,3.0,5.375,4,1,0,160,3,2
극장판 오드 택시 인 더 우즈,(주)미디어캐슬,2024,2,6.0,143.0,애니메이션,15세이상관람가,5.0,5.838928571428572,5.419464285714286,4,0,1,150,3,2
레트리뷰션,메가박스중앙(주),2024,1,202.0,139.0,액션,15세이상관람가,4.894583333333333,6.0,5.447291666666667,4,1,1,146,3,2
마이 스몰 랜드,(주)미디어캐슬,2024,2,6.0,135.0,드라마,12세이상관람가,7.67,5.5,6.585,4,2,0,142,3,2
힐마 아프 클린트 - 미래를 위한 그림,(주)마노엔터테인먼트,2023,12,24.0,133.0,다큐멘터리,전체관람가,9.1,6.079677419354839,7.589838709677419,4,8,2,140,3,2
이빨요정 비올레타: 요정나라로 돌아갈래!,TCO(주)더콘텐츠온,2023,11,298.0,124.0,애니메이션,전체관람가,8.04,5.5,6.77,3,0,2,131,2,2
썬 오브 람세스,그린나래미디어(주),2024,2,6.0,123.0,스릴러,15세이상관람가,0.0,6.0,3.0,4,7,1,130,3,2
이어지는 땅,필름다빈,2024,1,30.0,119.0,드라마,12세이상관람가,8.0,6.0,7.0,4,2,0,126,3,2
홈그라운드,영화배급협동조합 씨네소파,2023,12,35.0,116.0,다큐멘터리,12세이상관람가,8.14,8.0,8.07,4,8,0,123,3,2
나폴레옹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,12,822.0,115.0,전쟁,15세이상관람가,6.91,6.0,6.455,4,12,1,121,3,2
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023,6,136.0,110.0,다큐멘터리,전체관람가,8.268196721311476,8.43,8.349098360655738,2,8,2,115,1,2
"여름을 향한 터널, 이별의 출구",(주)미디어캐슬,2023,9,269.0,99.0,애니메이션,12세이상관람가,7.46,5.998522727272728,6.729261363636364,3,0,0,104,2,2
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620.0,98.0,액션,15세이상관람가,8.8,6.128461538461538,7.4642307692307694,3,1,1,103,2,2
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022,9,16.0,83.0,애니메이션,전체관람가,8.113118279569893,6.67,7.391559139784946,3,0,2,88,2,1
유어 럭키 데이,주식회사 풍경소리,2024,2,5.0,82.0,액션,15세이상관람가,6.33,5.0,5.665,4,1,1,87,3,1
클레오의 세계,"그린나래미디어(주),(주)하이스트레인저",2024,1,47.0,80.0,드라마,전체관람가,7.81,4.0,5.904999999999999,4,2,2,85,3,1
아쿠아맨과 로스트 킹덤,워너브러더스 코리아(주),2023,12,965.0,78.0,액션,12세이상관람가,7.47,5.5,6.484999999999999,4,1,0,83,3,1
블랙 로터스,주식회사 블루필름웍스,2024,2,5.0,76.0,액션,15세이상관람가,3.5,4.67,4.085,4,1,1,81,3,1
쏘우 X,"(주)올스타엔터테인먼트,(주)플레이그램",2023,12,571.0,67.0,공포(호러),청소년관람불가,7.94,5.0,6.470000000000001,4,5,3,71,3,1
봉신연의: 조가풍운,(주)스튜디오디에이치엘,2024,1,23.0,66.0,전쟁,12세이상관람가,8.36,5.5,6.93,4,12,0,70,3,1
킹덤 3: 운명의 불꽃,"(주)이놀미디어,(주)플레이그램",2024,1,136.0,49.0,액션,15세이상관람가,7.17,7.4,7.285,4,1,1,50,3,1
도티와 영원의 탑,(주)넥스트엔터테인먼트월드(NEW),2023,12,370.0,48.0,애니메이션,전체관람가,9.81,8.43,9.12,4,0,2,49,3,1
약속,엠라인디스트리뷰션(주),2023,11,42.0,47.0,다큐멘터리,전체관람가,9.25,6.050545454545454,7.650272727272727,3,8,2,48,2,1
어파이어,M&M 인터내셔널,2023,9,68.0,47.0,드라마,12세이상관람가,8.02,6.0,7.01,3,2,0,48,2,1
키리에의 노래: 디렉터스 컷,이화배컴퍼니(주),2023,11,9.0,41.0,드라마,15세이상관람가,7.806105263157895,5.5,6.653052631578948,3,2,1,42,2,1
느티나무 아래,"미디어나무(주),스튜디오 에이드",2023,11,13.0,36.0,다큐멘터리,전체관람가,7.92,6.050545454545454,6.985272727272728,3,8,2,36,2,1
서치: 데스게임,주식회사 원더스튜디오,2024,1,5.0,34.0,스릴러,청소년관람불가,10.0,6.315,8.1575,4,7,3,34,3,1
너는 내 아들,"주식회사 블루필름웍스,(주)버킷스튜디오",2023,6,117.0,25.0,드라마,12세이상관람가,3.9,6.0,4.95,2,2,0,25,1,1
극장판 우당탕탕 은하안전단: 진정한 용기!,(주)넥스트엔터테인먼트월드(NEW),2023,11,261.0,20.0,애니메이션,전체관람가,9.13,7.15,8.14,3,0,2,20,2,1
파묘,(주)쇼박스,2024,2,2355.0,7260067.0,미스터리,15세이상관람가,8.44,7.5,7.97,4,9,1,2106,3,5
듄: 파트2,워너브러더스 코리아(주),2024,2,1544.0,1617500.0,액션,12세이상관람가,8.22,6.5,7.36,4,1,0,2093,3,5
댓글부대,(주)에이스메이커무비웍스,2024,3,1228.0,541058.0,범죄,15세이상관람가,8.98,6.44,7.710000000000001,1,4,1,2043,0,5
웡카,워너브러더스 코리아(주),2024,1,1753.0,401512.0,판타지,전체관람가,7.56,5.5,6.529999999999999,4,10,2,2031,3,5
고질라 X 콩: 뉴 엠파이어,워너브러더스 코리아(주),2024,3,996.0,320982.0,액션,12세이상관람가,7.99,6.0,6.995,1,1,0,2016,0,5
극장판 스파이 패밀리 코드 : 화이트,"(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부",2024,3,917.0,235008.0,애니메이션,12세이상관람가,7.64,6.409166666666667,7.024583333333333,1,0,0,1990,0,5
브레드이발소: 셀럽 인 베이커리타운,롯데컬처웍스(주)롯데엔터테인먼트,2024,3,342.0,173713.0,애니메이션,전체관람가,7.93,7.44,7.685,1,0,2,1969,0,5
가여운 것들,월트디즈니컴퍼니코리아 유한책임회사,2024,3,471.0,142488.0,드라마,청소년관람불가,8.44,6.22927536231884,7.334637681159419,1,2,3,1954,0,5
건국전쟁,다큐스토리,2024,2,224.0,138922.0,다큐멘터리,12세이상관람가,7.69,7.6,7.645,4,8,0,1950,3,5
패스트 라이브즈,(주)씨제이이엔엠,2024,3,613.0,115193.0,드라마,12세이상관람가,9.45,10.0,9.725,1,2,0,1940,0,5
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",씨제이 씨지브이(CJ CGV)(주),2024,2,393.0,70124.0,애니메이션,15세이상관람가,7.51,5.0,6.255,4,0,1,1889,3,5
아이엠 티라노,"주식회사 원더스튜디오,영화사빅",2024,3,229.0,47077.0,애니메이션,전체관람가,7.72,4.67,6.195,1,0,2,1862,0,5
랜드 오브 배드,메가박스중앙(주),2024,3,394.0,44252.0,액션,15세이상관람가,5.53,5.67,5.6,1,1,1,1844,0,5
밥 말리: 원 러브,롯데컬처웍스(주)롯데엔터테인먼트,2024,3,579.0,38585.0,드라마,15세이상관람가,8.32,5.0,6.66,1,2,1,1816,0,5
1980,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",2024,3,522.0,32237.0,드라마,12세이상관람가,6.15,7.43,6.79,1,2,0,1798,0,5
메이 디셈버,판씨네마(주),2024,3,400.0,30186.0,드라마,청소년관람불가,6.89,7.25,7.07,1,2,3,1786,0,5
소풍,롯데컬처웍스(주)롯데엔터테인먼트,2024,2,729.0,27369.0,드라마,12세이상관람가,7.32,8.0,7.66,4,2,0,1770,3,5
로봇 드림,"(주)영화사 진진,(주)하이스트레인저",2024,3,114.0,23298.0,애니메이션,전체관람가,8.83,5.67,7.25,1,0,2,1748,0,5
용감한 돌고래 벨루와 바닷속 친구들,"찬란,(주)빅브라더스",2024,3,180.0,23121.0,애니메이션,전체관람가,8.94,8.38,8.66,1,0,2,1747,0,5
악은 존재하지 않는다,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",2024,3,149.0,19104.0,드라마,12세이상관람가,7.5,5.25,6.375,1,2,0,1710,0,5
탐정 말로,(주)바이포엠스튜디오,2024,3,183.0,18785.0,범죄,15세이상관람가,8.04,7.73,7.885,1,4,1,1707,0,5
추락의 해부,(주)스튜디오디에이치엘,2024,1,236.0,17382.0,드라마,15세이상관람가,5.83,10.0,7.915,4,2,1,1685,3,5
이승윤 콘서트 도킹 : 리프트오프,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2024,3,66.0,15918.0,공연,전체관람가,8.45,3.67,6.06,1,14,2,1669,0,4
나이트 스윔,유니버설픽쳐스인터내셔널 코리아(유),2024,3,195.0,15747.0,공포(호러),12세이상관람가,9.23,3.0,6.115,1,5,0,1667,0,4
목스박,(주)라온컴퍼니플러스,2024,3,122.0,15740.0,액션,15세이상관람가,5.6,3.67,4.635,1,1,1,1666,0,4
마담 웹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024,3,648.0,15434.0,액션,12세이상관람가,9.35,4.5,6.925,1,1,0,1663,0,4
사운드 오브 프리덤,(주)넥스트엔터테인먼트월드(NEW),2024,2,248.0,14638.0,범죄,15세이상관람가,6.04,6.583333333333333,6.3116666666666665,4,4,1,1649,3,4
인어공주: 마법물약의 비밀,(주)박수엔터테인먼트,2024,3,188.0,12056.0,애니메이션,전체관람가,9.3,8.38,8.84,1,0,2,1609,0,4
바튼 아카데미,유니버설픽쳐스인터내셔널 코리아(유),2024,2,254.0,9641.0,코미디,15세이상관람가,3.35,5.5,4.425,4,6,1,1553,3,4
생츄어리 2 : 쿼카가 너무해,(주)팝엔터테인먼트,2024,3,249.0,8743.0,애니메이션,전체관람가,8.45,6.0,7.225,1,0,2,1539,0,4
왓츠 러브,(주)디스테이션,2024,3,188.0,8412.0,멜로/로맨스,15세이상관람가,10.0,6.67,8.335,1,3,1,1523,0,4
대결! 애니메이션,"(주)블레이드이엔티,(주)블루라벨픽쳐스",2024,3,103.0,7969.0,드라마,12세이상관람가,6.76,8.0,7.38,1,2,0,1506,0,4
괴물,(주)넥스트엔터테인먼트월드(NEW),2023,11,647.0,7901.0,드라마,12세이상관람가,8.08,5.5,6.79,3,2,0,1502,2,4
원 앤 온리,(주)스튜디오디에이치엘,2024,3,112.0,7568.0,드라마,12세이상관람가,9.03,6.22927536231884,7.629637681159419,1,2,0,1487,0,4
기적의 시작,퓨어웨이픽쳐스,2024,2,137.0,7419.0,다큐멘터리,12세이상관람가,8.27,7.9,8.085,4,8,0,1479,3,4
화녀,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2024,3,77.0,7075.0,스릴러,청소년관람불가,8.41,7.0,7.705,1,7,3,1463,0,4
막걸리가 알려줄거야,"판씨네마(주),(주)홈초이스",2024,2,73.0,6477.0,드라마,전체관람가,3.74,6.1198989898989895,4.929949494949495,4,2,2,1444,3,4
월레스와 그로밋 더 클래식 컬렉션,CGV ICECON,2024,2,52.0,6261.0,애니메이션,전체관람가,7.83,5.25,6.54,4,0,2,1433,3,4
돌핀,(주)마노엔터테인먼트,2024,3,67.0,5354.0,드라마,12세이상관람가,8.82,6.0,7.41,1,2,0,1401,0,4
극장판 츠루네: 시작의 한 발,(주)라이크콘텐츠,2024,2,119.0,4486.0,애니메이션,전체관람가,8.06,5.67,6.865,4,0,2,1342,3,4
시민덕희,(주)쇼박스,2024,1,1272.0,4284.0,드라마,15세이상관람가,8.52,6.206746031746032,7.363373015873016,4,2,1,1326,3,4
에픽하이 20 더 무비,"CGV ICECON,(주)플레이그램",2024,3,54.0,4274.0,공연,12세이상관람가,8.3,6.0,7.15,1,14,0,1324,0,4
드림쏭3,"주식회사 원더스튜디오,영화사빅",2024,3,238.0,4272.0,애니메이션,전체관람가,8.82,6.0,7.41,1,0,2,1323,0,4
아기상어 극장판: 사이렌 스톤의 비밀,(주)넥스트엔터테인먼트월드(NEW),2024,2,578.0,3847.0,애니메이션,전체관람가,7.65,4.0,5.825,4,0,2,1292,3,4
당신이 잠든 사이,트윈플러스파트너스(주),2024,3,118.0,3813.0,미스터리,12세이상관람가,8.0,4.0,6.0,1,9,0,1287,0,4
래빗스쿨 2: 부활절 대소동,"(주)버킷스튜디오,주식회사 블루필름웍스",2024,3,126.0,3053.0,애니메이션,전체관람가,8.0,8.5,8.25,1,0,2,1216,0,4
오키쿠와 세계,(주)엣나인필름,2024,2,36.0,2995.0,드라마,12세이상관람가,7.7,6.1198989898989895,6.909949494949495,4,2,0,1215,3,4
뒤주,(주)파이브데이,2024,3,52.0,2596.0,공포(호러),15세이상관람가,7.63,7.67,7.65,1,5,1,1175,0,4
갓랜드,M&M 인터내셔널,2024,2,24.0,2355.0,드라마,15세이상관람가,3.51,6.1198989898989895,4.814949494949495,4,2,1,1144,3,4
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),2023,10,78.0,2355.0,애니메이션,전체관람가,7.59,6.0,6.795,3,0,2,1144,2,4
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,2023,12,883.0,2301.0,애니메이션,전체관람가,7.668472222222222,6.67,7.169236111111111,4,0,2,1132,3,4
서울의 봄,플러스엠 엔터테인먼트,2023,11,2328.0,1965.0,드라마,12세이상관람가,7.91,7.67,7.79,3,2,0,1080,2,4
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023,1,1023.0,1715.0,애니메이션,12세이상관람가,9.49,6.75,8.120000000000001,4,0,0,1037,3,3
여기는 아미코,주식회사 슈아픽처스,2024,2,40.0,1637.0,가족,전체관람가,9.25,7.0,8.125,4,11,2,1019,3,3
조용한 이주,필름다빈,2024,3,27.0,1543.0,드라마,12세이상관람가,7.3,6.0,6.65,1,2,0,1004,0,3
길위에 김대중,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",2024,1,414.0,1504.0,다큐멘터리,12세이상관람가,8.0,8.0,8.0,4,8,0,1000,3,3
비욘드 유토피아,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",2024,1,158.0,1449.0,다큐멘터리,12세이상관람가,9.64,6.71,8.175,4,8,0,990,3,3
플랜 75,찬란,2024,2,50.0,1437.0,드라마,15세이상관람가,9.44,6.1198989898989895,7.779949494949495,4,2,1,987,3,3
부활 그 소망,파이오니아21,2024,3,26.0,1093.0,다큐멘터리,전체관람가,7.52,7.9,7.71,1,8,2,901,0,3
그대들은 어떻게 살 것인가,메가박스중앙(주),2023,10,1733.0,1001.0,애니메이션,전체관람가,10.0,6.105280898876405,8.052640449438202,3,0,2,866,2,3
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),2023,10,79.0,987.0,애니메이션,전체관람가,6.98,5.33,6.155,3,0,2,857,2,3
3일의 휴가,(주)쇼박스,2023,12,863.0,939.0,판타지,12세이상관람가,5.499333333333333,4.5,4.999666666666666,4,10,0,834,3,3
잠행,(주)이놀미디어,2024,3,32.0,840.0,액션,15세이상관람가,8.12,6.0,7.06,1,1,1,763,0,3
레이징 그레이스,(주)이놀미디어,2024,3,28.0,812.0,스릴러,15세이상관람가,7.55,7.0,7.275,1,7,1,742,0,3
류이치 사카모토: 오퍼스,"(주)엣나인필름,메가박스중앙(주)",2023,12,251.0,783.0,공연,전체관람가,5.71,6.355555555555556,6.032777777777778,4,14,2,720,3,3
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,(주)애니플러스,2024,2,84.0,747.0,애니메이션,12세이상관람가,8.63,5.838928571428572,7.234464285714287,4,0,0,696,3,3
다시 김대중-함께 합시다,주식회사 블루필름웍스,2024,3,58.0,700.0,다큐멘터리,12세이상관람가,9.2,7.29,8.245,1,8,0,658,0,3
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023,6,1251.0,640.0,애니메이션,전체관람가,4.33,6.67,5.5,2,0,2,607,1,3
세월: 라이프 고즈 온,영화배급협동조합 씨네소파,2024,3,25.0,636.0,다큐멘터리,전체관람가,8.92,3.67,6.295,1,8,2,604,0,3
리볼버 릴리,와이드 릴리즈(주),2024,3,31.0,540.0,액션,15세이상관람가,8.43,5.33,6.88,1,1,1,535,0,3
도그데이즈,(주)씨제이이엔엠,2024,2,847.0,530.0,드라마,12세이상관람가,6.5,6.67,6.585,4,2,0,527,3,3
벗어날 탈 脫,영화배급협동조합 씨네소파,2024,2,14.0,505.0,미스터리,15세이상관람가,7.88,5.71125,6.795624999999999,4,9,1,504,3,3
크레센도 반 클라이번 콩쿠르 실황,오드,2024,1,65.0,499.0,공연,전체관람가,6.77,7.5,7.135,4,14,2,498,3,3
나의 올드 오크,(주)영화사 진진,2024,1,83.0,477.0,드라마,15세이상관람가,9.35,10.0,9.675,4,2,1,479,3,3
에스파: 마이 퍼스트 페이지,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2024,2,68.0,432.0,공연,전체관람가,7.67,6.6,7.135,4,14,2,437,3,3
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023,12,2196.0,429.0,사극,12세이상관람가,7.68,7.79,7.734999999999999,4,18,0,434,3,3
다운폴,(주)피터팬픽쳐스,2024,3,8.0,415.0,전쟁,청소년관람불가,8.24,5.0,6.62,1,12,3,420,0,2
크레센도,오드,2023,12,81.0,405.0,다큐멘터리,전체관람가,8.24,6.5,7.37,4,8,2,410,3,2
DMZ 동물 특공대,(주)박수엔터테인먼트,2024,2,201.0,385.0,애니메이션,전체관람가,8.7,5.0,6.85,4,0,2,393,3,2
우견니,"오드,홀리가든",2024,2,143.0,314.0,멜로/로맨스,12세이상관람가,6.92,3.0,4.96,4,3,0,325,3,2
벙커 게임,스튜디오 에이드,2024,3,19.0,301.0,공포(호러),15세이상관람가,7.16,1.0,4.08,1,5,1,309,0,2
스노우 퍼핀즈,(주)팝엔터테인먼트,2024,2,315.0,290.0,애니메이션,전체관람가,4.23,6.0,5.115,4,0,2,298,3,2
어른 김장하,(주)시네마달,2023,11,98.0,268.0,다큐멘터리,전체관람가,8.35,7.25,7.8,3,8,2,277,2,2
티처스 라운지,(주)스튜디오디에이치엘,2023,12,29.0,253.0,드라마,12세이상관람가,9.5,6.128591549295774,7.814295774647887,4,2,0,263,3,2
너와 나,"주식회사 필름영,그린나래미디어(주)",2023,10,76.0,241.0,드라마,12세이상관람가,7.7,8.5,8.1,3,2,0,252,2,2
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),2023,12,61.0,241.0,드라마,15세이상관람가,8.77,6.128591549295774,7.4492957746478865,4,2,1,252,3,2
극장판 후르츠 바스켓: 프렐류드,(주)미디어캐슬,2024,3,5.0,233.0,애니메이션,12세이상관람가,7.04,6.409166666666667,6.724583333333333,1,0,0,244,0,2
장인과 사위,주식회사 제이씨엔터웍스,2024,2,49.0,226.0,코미디,12세이상관람가,10.0,5.185,7.592499999999999,4,6,0,237,3,2
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",와이드 릴리즈(주),2023,12,215.0,222.0,애니메이션,전체관람가,5.22,8.43,6.824999999999999,4,0,2,232,3,2
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620.0,219.0,액션,15세이상관람가,8.04,5.5,6.77,3,1,1,229,2,2
위시,월트디즈니컴퍼니코리아 유한책임회사,2024,1,1421.0,195.0,애니메이션,전체관람가,8.8,5.5,7.15,4,0,2,206,3,2
라이즈,(주)무비다이브,2024,1,68.0,194.0,드라마,15세이상관람가,7.13,6.5,6.815,4,2,1,205,3,2
리빙: 어떤 인생,(주)티캐스트,2023,12,50.0,190.0,드라마,12세이상관람가,8.3,6.0,7.15,4,2,0,200,3,2
나폴레옹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,12,822.0,170.0,전쟁,15세이상관람가,7.8,6.0,6.9,4,12,1,181,3,2
인투 더 월드,유니버설픽쳐스인터내셔널 코리아(유),2024,1,839.0,167.0,애니메이션,전체관람가,6.91,7.43,7.17,4,0,2,178,3,2
노 베어스,M&M 인터내셔널,2024,1,41.0,161.0,드라마,12세이상관람가,8.64,3.0,5.82,4,2,0,171,3,2
검치호,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2024,3,5.0,160.0,액션,15세이상관람가,8.54,5.29,6.914999999999999,1,1,1,169,0,2
외계+인 2부,(주)씨제이이엔엠,2024,1,1390.0,154.0,기타,12세이상관람가,8.13,5.5,6.815,4,16,0,162,3,2
느티나무 아래,"미디어나무(주),스튜디오 에이드",2023,11,13.0,151.0,다큐멘터리,전체관람가,8.01,8.43,8.219999999999999,3,8,2,158,2,2
어파이어,M&M 인터내셔널,2023,9,68.0,145.0,드라마,12세이상관람가,10.0,6.254455445544555,8.127227722772277,3,2,0,152,2,2
걸즈 앤 판처 최종장 제4화,(주)디스테이션,2024,1,40.0,120.0,애니메이션,12세이상관람가,8.02,6.67,7.345,4,0,0,127,3,2
블루 자이언트,판씨네마(주),2023,10,574.0,120.0,애니메이션,12세이상관람가,8.62,6.105280898876405,7.362640449438202,3,0,0,127,2,2
"주사위놀이, 마불 세계여행",(주)니즈텔레콤,2024,1,1.0,118.0,어드벤처,전체관람가,8.7,6.0,7.35,4,15,2,125,3,2
서바이벌 택틱스,필름다빈,2024,2,12.0,112.0,드라마,12세이상관람가,7.777657657657658,6.1198989898989895,6.948778323778324,4,2,0,118,3,2
"타르콥스키, 기도하는 영혼",(주)와우,2024,1,9.0,111.0,다큐멘터리,12세이상관람가,8.58,6.67,7.625,4,8,0,116,3,2
세기말의 사랑,"(주)엔케이컨텐츠,(주)디스테이션",2024,1,123.0,99.0,드라마,12세이상관람가,7.67,8.0,7.835,4,2,0,104,3,2
엔드 오브 에반게리온,(주)라이크콘텐츠,2024,1,130.0,97.0,애니메이션,청소년관람불가,7.88,6.281282051282052,7.080641025641025,4,0,3,102,3,2
스즈메의 문단속: 다녀왔어,(주)쇼박스,2024,1,185.0,95.0,애니메이션,12세이상관람가,9.13,6.67,7.9,4,0,0,100,3,2
공백,(주)미디어캐슬,2024,3,3.0,80.0,드라마,12세이상관람가,8.45,4.67,6.56,1,2,0,85,0,1
아네모네,㈜인디스토리,2024,2,57.0,78.0,코미디,15세이상관람가,7.6,7.67,7.635,4,6,1,83,3,1
일 부코,그린나래미디어(주),2024,1,10.0,73.0,드라마,전체관람가,6.5,7.4,6.95,4,2,2,78,3,1
약속,엠라인디스트리뷰션(주),2023,11,42.0,70.0,다큐멘터리,전체관람가,6.33,6.0,6.165,3,8,2,74,2,1
아가일,유니버설픽쳐스인터내셔널 코리아(유),2024,2,841.0,69.0,액션,12세이상관람가,9.25,5.566,7.407999999999999,4,1,0,73,3,1
부르달락: 흡혈귀,주식회사 풍경소리,2024,3,5.0,62.0,기타,15세이상관람가,7.25,7.5,7.375,1,16,1,64,0,1
아녜스 V에 의한 제인 B,(주)영화사 안다미로,2024,1,33.0,61.0,판타지,청소년관람불가,7.0,8.11,7.555,4,10,3,63,3,1
사랑은 낙엽을 타고,찬란,2023,12,40.0,57.0,멜로/로맨스,12세이상관람가,7.77,6.5814814814814815,7.175740740740741,4,3,0,58,3,1
베어헌터,주식회사 원더스튜디오,2024,3,5.0,56.0,어드벤처,15세이상관람가,7.9,6.0,6.95,1,15,1,57,0,1
뽀로로 극장판 슈퍼스타 대모험,씨제이 씨지브이(CJ CGV)(주),2023,12,850.0,50.0,애니메이션,전체관람가,3.5,6.5,5.0,4,0,2,51,3,1
소녀는 졸업하지 않는다,해피송,2024,1,42.0,39.0,멜로/로맨스,12세이상관람가,8.56,4.6,6.58,4,3,0,39,3,1
범죄도시4,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2024,4,2980.0,5005372.0,액션,15세이상관람가,7.56,5.25,6.404999999999999,1,1,1,2102,0,5
쿵푸팬더4,유니버설픽쳐스인터내셔널 코리아(유),2024,4,2311.0,1403363.0,애니메이션,전체관람가,7.52,7.15,7.335,1,0,2,2091,0,5
파묘,(주)쇼박스,2024,2,2355.0,902841.0,미스터리,15세이상관람가,7.07,6.5,6.785,4,9,1,2075,3,5
댓글부대,(주)에이스메이커무비웍스,2024,3,1228.0,430033.0,범죄,15세이상관람가,8.22,5.5,6.86,1,4,1,2034,0,5
고질라 X 콩: 뉴 엠파이어,워너브러더스 코리아(주),2024,3,995.0,187566.0,액션,12세이상관람가,7.56,6.5,7.029999999999999,1,1,0,1977,0,5
오멘: 저주의 시작,월트디즈니컴퍼니코리아 유한책임회사,2024,4,644.0,179279.0,공포(호러),15세이상관람가,7.64,7.5,7.57,1,5,1,1973,0,5
듄: 파트2,워너브러더스 코리아(주),2024,2,1544.0,108156.0,액션,12세이상관람가,7.83,7.33,7.58,4,1,0,1934,3,5
비키퍼,(주)바른손이앤에이,2024,4,713.0,101325.0,액션,청소년관람불가,8.98,6.0,7.49,1,1,3,1928,0,5
유미의 세포들 더 무비,"씨제이 씨지브이(CJ CGV)(주),롯데컬처웍스(주)롯데시네마",2024,4,441.0,72888.0,애니메이션,전체관람가,7.63,6.0,6.815,1,0,2,1894,0,5
극장판 스파이 패밀리 코드 : 화이트,"(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부",2024,3,917.0,46855.0,애니메이션,12세이상관람가,8.37,6.409166666666667,7.389583333333332,1,0,0,1859,0,5
기동전사 건담 시드 프리덤,워터홀컴퍼니(주),2024,4,418.0,45916.0,애니메이션,12세이상관람가,7.93,5.0,6.465,1,0,0,1853,0,5
고스트버스터즈: 오싹한 뉴욕,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024,4,671.0,42831.0,액션,12세이상관람가,8.12,5.0,6.56,1,1,0,1838,0,5
씬,롯데컬처웍스(주)롯데엔터테인먼트,2024,4,409.0,38225.0,공포(호러),15세이상관람가,7.29,7.38,7.335,1,5,1,1815,0,5
챌린저스,워너브러더스 코리아(주),2024,4,458.0,35455.0,드라마,15세이상관람가,4.05,5.0,4.525,1,2,1,1806,0,5
